condition,trial,module,compliance,elab_only,stitch_funccheck
claude46_api,1,P1_PS,1,1,
claude46_api,2,P1_PS,1,1,
claude46_api,3,P1_PS,1,1,
claude46_api,4,P1_PS,1,1,
claude46_api,5,P1_PS,1,1,
claude46_api,6,P1_PS,1,1,
claude46_api,7,P1_PS,1,1,
claude46_api,8,P1_PS,1,1,
claude46_api,9,P1_PS,1,1,
claude46_api,10,P1_PS,1,1,
claude46_api,1,P2_PS,1,1,
claude46_api,2,P2_PS,1,1,
claude46_api,3,P2_PS,1,1,
claude46_api,4,P2_PS,1,1,
claude46_api,5,P2_PS,1,1,
claude46_api,6,P2_PS,1,1,
claude46_api,7,P2_PS,1,1,
claude46_api,8,P2_PS,1,1,
claude46_api,9,P2_PS,1,1,
claude46_api,10,P2_PS,1,1,
claude46_api,1,P3_PS,1,1,1
claude46_api,2,P3_PS,1,1,1
claude46_api,3,P3_PS,1,1,1
claude46_api,4,P3_PS,1,1,1
claude46_api,5,P3_PS,1,1,1
claude46_api,6,P3_PS,1,1,1
claude46_api,7,P3_PS,1,1,1
claude46_api,8,P3_PS,1,1,1
claude46_api,9,P3_PS,1,1,1
claude46_api,10,P3_PS,1,1,1
claude_api,1,P1_PS,1,1,
claude_api,2,P1_PS,1,1,
claude_api,3,P1_PS,1,1,
claude_api,4,P1_PS,1,1,
claude_api,5,P1_PS,1,1,
claude_api,6,P1_PS,1,1,
claude_api,7,P1_PS,1,1,
claude_api,8,P1_PS,1,1,
claude_api,9,P1_PS,1,1,
claude_api,10,P1_PS,1,1,
claude_api,1,P2_PS,1,1,
claude_api,2,P2_PS,1,1,
claude_api,3,P2_PS,1,1,
claude_api,4,P2_PS,1,1,
claude_api,5,P2_PS,1,1,
claude_api,6,P2_PS,1,1,
claude_api,7,P2_PS,1,1,
claude_api,8,P2_PS,1,1,
claude_api,9,P2_PS,1,1,
claude_api,10,P2_PS,1,1,
claude_api,1,P3_PS,1,1,1
claude_api,2,P3_PS,1,1,1
claude_api,3,P3_PS,1,1,1
claude_api,4,P3_PS,1,1,1
claude_api,5,P3_PS,1,1,1
claude_api,6,P3_PS,1,1,1
claude_api,7,P3_PS,1,1,1
claude_api,8,P3_PS,1,1,1
claude_api,9,P3_PS,1,1,1
claude_api,10,P3_PS,1,1,1
