condition,trial,padlib,read,elab,dftcfg,drc,icl,write_icl,patspec,report,total
ref,1,1,1,1,1,1,0,0,0,0,5
claude,1,1,1,0,0,0,0,0,0,0,2
claude,2,1,1,0,0,0,0,0,0,0,2
claude,3,1,1,0,0,0,0,0,0,0,2
claude_api,1,1,1,0,0,0,0,0,0,0,2
claude_api,2,1,1,0,0,0,0,0,0,0,2
claude_api,3,1,1,0,0,0,0,0,0,0,2
claude46_api,1,1,1,0,0,0,0,0,0,0,2
claude46_api,2,1,1,0,0,0,0,0,0,0,2
claude46_api,3,1,1,0,0,0,0,0,0,0,2
gpt,1,1,1,0,0,0,0,0,0,0,2
gpt,2,1,1,0,0,0,0,0,0,0,2
gpt,3,1,1,0,0,0,0,0,0,0,2
gemini,1,1,1,1,1,0,0,0,0,0,4
gemini,2,1,1,0,0,0,0,0,0,0,2
gemini,3,1,1,0,0,0,0,0,0,0,2
